review,label
Charlie's evidence is that since the teacher that once you blow into a balloon that it will go into all different types of ways.,0
He could tell people how spread out and how the physics work.,0
If the balloon grows bigger in all directions that means that gas expands in all directions,1
"Charlie can say that like a balloon, air particles in the box will spread out after time passes.",2
Charlie might say that all the bubbles in soda are actually at the top so all the particles are also at the top.,0
"Charlie may use the evidence of the ballon growing bigger to support his claim because the balloon grows bigger and spreads out, just like the particles in his box",2
Charlie might use any of this evidence because he could argue that the pressure of the soda bottle is the only reason they go up. This could also be because they want to expand but can't in their confinement to they go up.,0
"The bubbles in soda first settle at the sides of the bottle or glass, they also look like Charlie's photo when rising to the top. The ballon shows that the air is like that because while blowing up a balloon, it expands on all sides, not just one.",0
When you blow air into a container they go all around.,0
water is much denser than air so the air will be pushed up by the water.,0
If Charlie blows up a balloon with gas he could say that the gas particles are expanding in the balloon and are spreading out and that would happen to the gas particles as well in his drawing.,2
Air is a type of gas so is air goes everywhere than gas will go everywhere.,0
He could use the one about the balloon.,0
"Charlie might say that the air in the balloon is like the space in the container, therefore it will expand throughout the container.",2
"The air particles being pushed through a balloon represents the gas bubbles be pushed around, as Charlie shows that the particles move.",1
he could use it too explain that like a balloon; all the particles spread out.,2
Charlie could use this as evidence because he could say that if you put a certain amount of gas in the box the box could explode because of how much air is in it. In which case the gas is spread out.,0
"because the when you blow air into a balloon, it will grow at all directions, than it mean the air is going all directions, that is why the gas are all around the container.",2
"Sam explained soda's bubbles as a case, but when looking at soda in a glass it turns out that there are many bubbles on the side of the glass.It can be said that the gas bubbles are scattered in all directions.",0
By giving an example of something related to this with gas.,0
His claim means bubbles areall over the place.,0
think about bubble gum because when u blow in it it gets bigger and it creates more space inside.,0
"When you blow or pump air into a balloon, the air evenly spreads out making the balloon grow. If the air in the balloon goes up, then the balloon should start stretching from the top not through all the sides.",1
"When you blow a balloon Gas particles separate, all going in different directions. Meaning that after a minute the Gas particles will float away from each other, and they will not stay together.",1
They spread out like a balloon when u blow air into it that's why the balloon gets bigger.,1
he could that's what it looks like when you blow air into a balloon.,0
"He could use the fact that when you put gas particles in a balloon it expands on all sides, so when gas particles are put in a box they don't just head in one direction, but in all.",2
That his gas will expand and not float up all together.,0
that since the gas is big it goes everywere,0
Charlie could use this evidence by saying that gas particles spread out when more gas is put into the item,0
the only way the bubbles will fill the whole container is if it had many more particles than it shows in the picture.,0
The evidence he can use is the balloon one.,0
Charlie might use one of these examples to support his claims because one of the examples support his claim.,0
Show how the air in a balloon will grow bigger in all directions.,0
charlie could say that the bubbles in soda only go to the top because there is no air at the bottom of the bottle because of the liquid,0
Charlie might use the evidence about how you blow into a balloon the molecules expand everywhere to support his claim about how the molecules are all around the container.,2
"Charlie might use this evidence in 2 ways. The first being that the particles would spread out to make an even balloon, and second that in a soda the particles will go up only so the air could try to be released so it would make the fizz. Otherwise in an open space the particles would like to spread out as far as possible.",0
Charlie will us the evidence that when you blow up a balloon the balloon expands in all directions to prove his claim by stating that when air is in a closed box it should spread out like it did in the balloon.,2
Charlie could use this information to support his claim by saying that the gas particles only float when it is in a denser substance than gas and the balloon expands because the gas particles take up the space.,0
The air particle in a balloon are moving around to bow it up so it could be the same idea in a box.,2
"Charlie could use only one piece of evidence which is the one where the gas particles in a balloon are all around when blown into (Sam's drawing only has the particles on the top, which wouldn't help Charlie).",0
Charlie will use the evidence of gas particles flying everywhere and use a balloon as an example.,1
Because the particles have to go to the middle before they go to the top.,0
"He can also back up his claim by giving evidence to the claim when you blow air into a balloon, the balloon grows bigger in all directions.",0
"Charlie will use the evidence that when you blow into a balloon, the Carbon causes the balloon to expand as his evidence to explain that the gas is all around the container.",0
he can use the balloon to show how it needs to spread to fill empty matter,0
When the balloon is getting larger and larger you or a machine blows air into a compacted space and the particles expand through the balloon.,1
he can say that the partilcez are all spread,0
"The air balloon because it expands in all directions, like his drawing.",1
Since a container has a lot of empty space inside more air particles are going to be spread.,0
"If the box is filled with air, then the particles will scatter in all directions because in a balloon the air expands in all directions.",2
The particles are around the container because the air in that container needs to be in the same amount.,0
they are all around,0
Charlie might use the second piece of information to prove particles go in all directions just like the air in a balloon.,2
The gas particles will fly to everywhere,0
Charlie also might recite the question.,0
Charlie might use this evidence in his explanation of why he thinks the gas particles spread out in the box.,0
The particles will spread apart frtom one another just like how air spreads everywhere in a ballon.,2
Gas has room to move.,0
Charlie might be also right he can try blowing a balloon to convince hes right,0
"Charlie might use the evidence ""When you blow air into a balloon, the balloon grows bigger in all directions"" as an example to support his claim and to prove that Sam's contrasting claim is incorrect due to this fact.",0
in a water bottle all the particles spread out and fill the spaces in the water bottle.,0
I think the particle will spread all over the balloon.,0
He use that because he want observed and to clarify he's correct what he thinking.,0
"Previously mentioned, the balloon grows bigger in all directions when you blow air into it (gas into it), therefore gas should move in all directions.",2
Charlie will use this evidence to prove that gas particles will bounce around all over a container.,0
He might explain his claim saying that the air in a balloon spreads in different directions just like the gas in a box after a minute.,2
If the bubbles in the balloon are trying to escape the balloon but cant and cause the balloon to be bigger then what can it do to the box. since the bubbles cant expand the box they are just trying to find the one way they can escape so they are floating everywhere.,1
"When you blow air into a balloon, the balloon grows bigger in all directions. So why wouldn't that be the same for this case.",1
Charlie is like the gas will not separate they're can stand together.,0
because the gass would still move out but only up,0
"Charlie might use the balloon and air example to support his claim that the particles will evenly disperse because the air particles beings blown into the balloon do not all go to the exact same spot, but spread around the balloon effectively blowing up the entire thing evenly, not just n one place.",2
Because the balloon does go into all directions.,0
The particles are all around the container due to nothing in its way so its gonna keep bouncing off the sides of the container.,0
"an Charlies drawing, It shows they are all directions, which supports his claim.",0
"Charlie can claim that because the blowing of a balloon spreads out the gas particles, the box could spread out the gas particles.",2
"As the balloon was being blown, the gas particles reached out in all directions, spreading the gas particles.",1
"Charlie might use any of the evidence because, when the gas particles move apart, some move up.",0
The balloon example,0
He might use the evidence when you blow air into a balloon the balloon grows bigger in all directions.,0
He can also support his claim because it proves his evidence is right.,0
That the particles are supposed to be all around.,0
"Charlie can use the second piece of evidence to support his claim because the piece of evidence shows the the gas particles in a balloon, are similar to gas particles in a box. He can use the first piece of evidence because it shows gas particles in soda. Soda is a liquid, it does not have the same environmental factors compared to a balloon and a box, which are empty spaces. There is also nothing else in a balloon and a box except gas particles, but in a soda bottle, there is a liquid substance and gas particles.",0
Charlie will use this evidence to tell how they react like that and relate it.,0
"Charlie says that when you blow into a balloon, the balloon expands on all sides. This should also happen when inside a box.",0
The particles spread out in many different directions just like how the ones in the balloon did.,2
He could also you a comparison too but with balloons and the gas spreading out,1
she could use it because they have things that are similar,0
he can say the if you blow a balloon the gas particles will make the balloon bigger,0
beuces he did this one right,0
I think that he will write what I putted in the last page.,0
